id,authorId,content,contentVector,createdAt,moderationReason,status,updatedAt,_CategoryToPost,Attachment,Comment,Like
0030f254-a29e-4a55-97f2-7d33f35094ce,e80c9d9f-94e9-46db-85a6-1a3fd705818b,Cách để thằng khỉ không ra ngoài oánh nhau nữa,,2026-03-14T00:13:17.514Z,,PUBLISHED,2026-03-30T00:13:17.514Z,,,,
003a5cbb-00f4-4d7e-8cc4-c03e49ccd99d,7cbd37a4-3374-4291-bd6d-b2474273342a,Is Sano falling for her? (via Hana-Kimi),,2026-03-06T00:11:30.206Z,,PUBLISHED,2026-03-30T00:11:30.206Z,,,,
00617bd0-8232-49a1-8da3-d2507c1c9f78,5a3c02df-6c93-4aae-b63e-f598c32df599,An Introduction to Brutalism: The Iconic Postwar Architectural Style That Combined Utopianism and Concrete,,2026-03-01T00:11:30.613Z,,PUBLISHED,2026-03-30T00:11:30.613Z,,,,
007aef44-461f-4ef4-aa8e-417d0a801063,0e3444b0-651e-4117-b47b-817069dec9e7,"What it means to make history! 🥹

Puerto Rico celebrate qualifying for the FIFA U-17 Women’s World Cup - the first time they have qualified for a FIFA World Cup at any level, male or female 🇵🇷🙌",,2026-03-29T00:16:38.128Z,,PUBLISHED,2026-03-30T00:16:38.128Z,,,,
00d8a80d-879d-4a91-bfa2-fc7a9b53336c,4bc7eff0-091a-45f8-84ca-72276cc4fc1e,"Một bồi thẩm đoàn tại Mỹ vừa phán quyết Meta và Youtube sẽ phải chịu trách nhiệm trong vụ kiện liên quan đến “nghiện mạng xã hội”. Đây được xem là bước ngoặt pháp lý đối với ngành công nghệ.

Phán quyết được đưa ra tại bang California sau hơn 7 tuần xét xử. Trong đó, bồi thẩm đoàn kết luận 2 công ty đã thiết kế nền tảng một cách bất cẩn, nhận thức được rủi ro nhưng không cảnh báo, gây tổn hại đáng kể đến sức khỏe tâm lý của nguyên đơn.

Nguyên đơn là một phụ nữ 20 tuổi. Cô cho biết, bị gây hại từ nhỏ dẫn đến lo âu và rối loạn hình thể. Tòa yêu cầu bồi thường 3 triệu đô la Mỹ. Trong đó, Meta chịu 70% trách nhiệm còn YouTube chịu 30%. Bồi thẩm đoàn cũng cho rằng hai công ty này có thể tiếp tục phải đối mặt với khoản bồi thường mang tính trừng phạt trong giai đoạn xét xử kế tiếp.

Cả hai công ty đều liên tục phủ nhận cáo buộc. YouTube gọi những cáo buộc được đưa ra là ""hoàn toàn không đúng sự thật"", còn Meta cho biết các vấn đề sức khỏe tâm thần của nguyên đơn là do cuộc sống gia đình khó khăn gây ra và việc sử dụng mạng xã hội không phải là nguyên nhân.",,2026-03-25T00:15:25.606Z,,PUBLISHED,2026-03-30T00:15:25.606Z,,,,
00fabd00-891b-423a-99e0-b501f253b1b4,7cbd37a4-3374-4291-bd6d-b2474273342a,"NEWS: ""Ranma 1/2"" Season 3 Announced for October 2026!
Watch trailer & more: acani.me/ranma-s3

MAPPA is back in charge of the animation.",,2026-03-09T00:11:14.626Z,,PUBLISHED,2026-03-30T00:11:14.626Z,,,,
01006ccc-e9c3-4aff-be9e-6db2b51619c3,da59f15f-d533-46f2-bb1e-fef513f7658b,"The breakthrough 🇹🇷

#FIFAWorldCup",,2026-03-20T00:16:38.325Z,,PUBLISHED,2026-03-30T00:16:38.325Z,,,,
01090c97-b1e9-4dc4-8d91-345dd7467eb4,f9bb992c-f613-4e52-8d15-905f35113610,"Sự xuất hiện của Severus Snape trong dự án Harry Potter truyền hình của HBO đang vấp phải làn sóng tranh luận dữ dội từ người hâm mộ toàn cầu. Đa số ý kiến cho rằng tạo hình nhân vật quá trẻ, thiếu đi sự uy nghiêm và phong thái lạnh lùng đặc trưng của vị Giáo sư Độc dược; thậm chí, một số người còn mỉa mai ngoại hình này trông giống một... rapper hơn là phù giáo sư phù thủy.

Bên cạnh đó, việc thay đổi sắc tộc của Snape cũng gây ra những lo ngại về tính nhất quán của cốt truyện. Có ý kiến phân tích rằng nếu Snape là người da màu, mối quan hệ giữa các nhân vật sẽ vô tình bị gán thêm những tầng nghĩa nhạy cảm về sắc tộc không có trong nguyên tác - như việc Harry nghi ngờ giáo viên da màu duy nhất, hay việc James Potter bắt nạt một học sinh da màu làm chệch hướng hoàn toàn tinh thần của bộ truyện gốc.",,2026-03-16T00:14:11.606Z,,PUBLISHED,2026-03-30T00:14:11.606Z,,,,
01301a2d-8933-4f52-82cd-de61c5e7eab3,ecb51e1a-b698-40a0-95d8-2eea6e774ba4,"NBA player and National Geographic 33 honoree Russell Westbrook wants to be remembered for giving back to others—but don’t forget his love of music and dancing, too.

The National Geographic 33—inspired by our 33 founders—is an initiative honoring changemakers who are rising to meet the most critical challenges of our time, making meaningful progress and incredible breakthroughs. See the full honoree list: https://on.natgeo.com/k8xjZe. #NatGeo33",,2026-03-11T00:14:48.645Z,,PUBLISHED,2026-03-30T00:14:48.645Z,,,,
013c6dd7-7939-49b8-a522-fa241e3c66ef,bb264706-0be1-43ae-997a-138bca242377,48 Hours Strike Order!,,2026-03-06T00:15:43.980Z,,PUBLISHED,2026-03-30T00:15:43.980Z,,,,
